X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId,geometry,element_station2,id_station2,landuse,element_amenity,id_amenity,amenity
-7908250.18074032,5217064.86492424,A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,Yes,15,55,POINT (-71.04102008 42.37331213),,,,,,
-7919455.07748197,5214541.08998018,A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,17,56,POINT (-71.14167538 42.35656092),,,,,,
-7910933.24874841,5207206.35030939,B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15,57,POINT (-71.06512249 42.30785224),,,,,,
-7911527.82507305,5213863.09346147,D32007,Boylston St at Arlington St,42.35206005,-71.07046366,Boston,Yes,31,58,POINT (-71.07046366 42.35206005),,,,,,
-7911842.72898819,5213724.80432392,D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15,59,POINT (-71.07329249 42.35114198),,,,,,
-7912530.16023969,5213490.94637868,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19,60,POINT (-71.07946779 42.34958942),,,,,,
-7912853.13147833,5213372.61576033,C32008,Boylston St at Fairfield St,42.34880382,-71.08236909,Boston,Yes,19,61,POINT (-71.08236909 42.34880382),,,,,,
-7914518.01687707,5212747.0681078,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15,62,POINT (-71.09732501 42.34465063),,,,,,
-7913344.61370935,5213162.10508872,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15,63,POINT (-71.08678415 42.34740621),,,,,,
-7913833.27733087,5217386.64800344,S32050,Boynton Yards at 101 South Street,42.3754476,-71.09117389,Somerville,Yes,19,64,POINT (-71.09117389 42.3754476),,,,,,
-7907330.95447912,5217184.52101708,A32032,Bremen St at Marion St,42.37410622,-71.03276253,Boston,Yes,11,65,POINT (-71.03276253 42.37410622),,,,,,
-7891406.57330373,5240417.55850537,T32016,Bridge Street Neck,42.52810052,-70.88971138,Salem,Yes,11,66,POINT (-70.88971138 42.52810052),,,,,,
-7915269.8876422,5211237.78385451,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15,67,POINT (-71.10407918 42.33462893),,,,,,
-7920412.03659777,5213394.41854761,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,16,68,POINT (-71.15027189 42.34894857),,,,,,
-7919019.44980545,5215292.03931823,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15,69,POINT (-71.13776207 42.36154571),,,,,,
-7912908.98046686,5215517.99154997,M32082,Broad Canal Way at Third Street,42.3630455,-71.08287079,Cambridge,Yes,19,70,POINT (-71.08287079 42.3630455),way,328697527.0,commercial,,,bicycle_rental
-7910779.17589399,5220839.97987927,V32011,Broadway at Beacham St,42.3983606,-71.06373843,Everett,Yes,15,71,POINT (-71.06373843 42.3983606),,,,,,
-7914649.47517695,5220359.2592816,S32016,Broadway at Central St,42.3951715,-71.09850592,Somerville,Yes,19,72,POINT (-71.09850592 42.3951715),,,,,,
-7907118.71385117,5220262.68247437,H32004,Broadway at Gerrish Ave,42.39453079,-71.03085594,Chelsea,Yes,11,73,POINT (-71.03085594 42.39453079),,,,,,
-7913411.64696712,5215680.86749622,Z32998,Broadway at Kittie Knox Bike Path,42.36412659,-71.08738632,Cambridge,Yes,23,74,POINT (-71.08738632 42.36412659),way,833984118.0,commercial,,,bicycle_rental
-7910971.66621788,5220557.03747884,V32004,Broadway at Lynde St,42.39648358,-71.0654676,Everett,Yes,15,75,POINT (-71.0654676 42.39648358),,,,,,
-7909539.76138142,5222646.99846451,V32008,Broadway at Maple St,42.41034691,-71.05260458,Everett,Yes,13,76,POINT (-71.05260458 42.41034691),,,,,,
-7912398.09190901,5218998.20829153,S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,Yes,19,77,POINT (-71.0782814 42.38614141),,,,,,
-7910144.19504697,5212505.78062864,C32053,Broadway T Stop,42.34304858,-71.0580343,Boston,Yes,19,78,POINT (-71.0580343 42.34304858),,,,,,
-7917093.8897815,5211107.64519948,K32005,Brookline Town Hall,42.33376473,-71.12046447,Brookline,Yes,15,79,POINT (-71.12046447 42.33376473),,,,,,
-7916626.60840778,5210953.92516982,K32003,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,Brookline,Yes,19,80,POINT (-71.11626681 42.33274392),,,,,,
-7911371.56701702,5217182.06335742,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23,81,POINT (-71.06905997 42.37408991),,,,,,
-7914893.05112836,5212910.08917737,B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,15,82,POINT (-71.100694 42.345733),,,,,,
-7926210.50189395,5215834.8616584,N32011,California at Chapel,42.36514871,-71.20236039,Newton,Yes,12,83,POINT (-71.20236039 42.36514871),,,,,,
-7912166.16888189,5216737.71963799,M32077,Cambridge Crossing at North First Street,42.371141,-71.076198,Cambridge,Yes,23,84,POINT (-71.076198 42.371141),,,flowerbed,,,waste_basket
-7914548.48056892,5216746.19975053,M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,Cambridge,Yes,19,85,POINT (-71.09759867 42.37119728),,,,,,bicycle_rental
-7916048.65876229,5217074.94105743,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19,86,POINT (-71.111075 42.373379),,,grass,,,school
-7914197.41563039,5217013.16143544,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15,87,POINT (-71.094445 42.372969),,,grass,,,bicycle_rental
-7910951.61089842,5215248.57721241,D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15,88,POINT (-71.06528744 42.36125722),,,,,,
-7912232.37948862,5216124.9461451,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.36707407,-71.07679278,Cambridge,Yes,15,89,POINT (-71.07679278 42.36707407),,,retail,,,bicycle_parking
-7907102.43671523,5220806.07042129,H32001,Cary Square,42.39813565,-71.03070972,Chelsea,Yes,12,90,POINT (-71.03070972 42.39813565),,,,,,
-7910387.63964138,5202955.76375233,C23109,Cedar Grove T Stop,42.2796076,-71.0602212,Boston,Yes,18,91,POINT (-71.0602212 42.2796076),,,,,,
-7915427.49600366,5216027.30364475,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17,92,POINT (-71.105495 42.366426),,,civic_admin,,,bicycle_rental
-7915160.88582321,5215823.00300041,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19,93,POINT (-71.1031 42.36507),,,,,,taxi
-7908045.95511571,5217386.87855526,A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15,94,POINT (-71.03918549 42.37544913),,,,,,
-7925217.7223924,5211479.76488775,N32018,Centre St at Commonwealth Ave,42.3362358,-71.1934421,Newton,Yes,11,95,POINT (-71.1934421 42.3362358),,,,,,
-7921193.12316326,5203432.93994924,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,17,96,POINT (-71.15728851 42.28277901),,,,,,
-7920765.5494519,5203967.55640049,C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19,97,POINT (-71.15344755 42.28633199),,,,,,
-7924435.962344,5214417.93026719,N32000,Centre St at Washington St,42.35574335,-71.18641943,Newton,Yes,11,98,POINT (-71.18641943 42.35574335),,,,,,
-7911608.63857059,5215178.63661909,D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19,99,POINT (-71.07118962 42.36079297),,,,,,
-7909785.49025178,5217187.28305963,D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23,100,POINT (-71.054812 42.37412455),,,,,,
-7907977.45911983,5219613.93666105,H32003,Chelsea Square,42.39022671,-71.03857018,Chelsea,Yes,11,101,POINT (-71.03857018 42.39022671),,,,,,
-7908950.86235081,5221595.05794761,V32016,Chelsea St at Vine St,42.40336946,-71.04731441,Everett,Yes,11,102,POINT (-71.04731441 42.40336946),,,,,,
-7908122.35368224,5220539.20519478,H32005,Chelsea Station,42.39636528,-71.03987179,Chelsea,Yes,11,103,POINT (-71.03987179 42.39636528),,,,,,
-7911699.40180421,5216863.65340556,M32049,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,Cambridge,Yes,23,104,POINT (-71.07200496 42.37197678),,,grass,,,bicycle_rental
-7910292.55053235,5213757.04203505,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19,105,POINT (-71.059367 42.351356),,,,,,
-7910661.24068586,5213915.65642609,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,106,POINT (-71.062679 42.352409),,,,,,
-7913237.70469678,5212598.74346825,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19,107,POINT (-71.08582377 42.34366582),,,,,,
-7917004.81637775,5217219.63503101,M32087,Church St,42.37433925,-71.11966431,Cambridge,Yes,15,108,POINT (-71.11966431 42.37433925),way,773824787.0,retail,,,bicycle_rental
-7913893.98875475,5205579.16133862,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19,109,POINT (-71.09171927 42.29704126),,,,,,
-7918427.66760003,5222037.16189525,S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15,110,POINT (-71.132446 42.406302),,,,,,
-7917536.44375674,5199344.31471842,C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16,111,POINT (-71.12444 42.2556),,,,,,
-7920450.25369215,5211375.44635567,B32035,Cleveland Circle,42.33554308,-71.1506152,Boston,Yes,15,112,POINT (-71.1506152 42.33554308),,,,,,
-7909834.16692552,5215165.05833613,D32057,Clinton St at North St,42.36070284,-71.05524927,Boston,Yes,18,113,POINT (-71.05524927 42.36070284),,,,,,
-7911599.88663222,5204122.41208343,C32055,Codman Square Library,42.2873611,-71.071111,Boston,Yes,17,114,POINT (-71.071111 42.2873611),,,,,,
-7914884.68435543,5212063.98315699,B32006,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,Boston,Yes,14,115,POINT (-71.10061884 42.34011512),,,,,,
-7911799.03720125,5207465.2216611,B32029,Columbia Rd at Ceylon St,42.309572,-71.0729,Boston,Yes,15,116,POINT (-71.0729 42.309572),,,,,,
-7909316.71608369,5210575.48073618,C32052,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,Boston,Yes,19,117,POINT (-71.05060093 42.33023071),,,,,,
-7912197.74131587,5212760.86733792,C32077,Columbus Ave at W. Canton St,42.34474225,-71.07648162,Boston,Yes,19,118,POINT (-71.07648162 42.34474225),,,,,,
-7916934.74966386,5213807.6567584,A32002,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,Boston,Yes,15,119,POINT (-71.11903489 42.35169202),,,,,,university
-7917182.72162196,5213785.86506989,K32006,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,Brookline,Yes,15,120,POINT (-71.12126246 42.35154735),,,,,,university
-7920569.68392104,5212083.76183782,D32033,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,Boston,Yes,19,121,POINT (-71.15168806 42.34024645),,,,,,
-7918461.84602329,5213436.0089157,A32017,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,Boston,Yes,15,122,POINT (-71.13275303 42.34922469),,,,,,
-7919265.47701205,5213305.55988933,D32034,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,Boston,Yes,15,123,POINT (-71.13997217 42.34835863),,,,,,
-7893249.98176986,5239214.55325393,T32013,Community Life Center,42.520136,-70.906271,Salem,Yes,9,124,POINT (-70.906271 42.520136),,,,,,
-7916077.8189029,5220193.56398532,S32022,Community Path at Cedar Street,42.39407224,-71.11133695,Somerville,Yes,15,125,POINT (-71.11133695 42.39407224),,,,,,
-7915437.73739681,5219960.34801738,S32040,Community Path at Lowell St,42.392525,-71.105587,Somerville,Yes,19,126,POINT (-71.105587 42.392525),,,,,,
-7920814.54672577,5219688.13634568,M32074,Concord Ave at Spinelli Place,42.390719,-71.1538877,Cambridge,Yes,19,127,POINT (-71.1538877 42.390719),way,1242533799.0,grass,,,bicycle_rental
-7910087.21505241,5215122.10902811,D32009,Congress St at Boston City Hall,42.36041775,-71.05752244,Boston,Yes,23,128,POINT (-71.05752244 42.36041775),,,,,,
-7907873.91195588,5213266.60447069,C32032,Congress St at Northern Ave,42.3481,-71.03764,Boston,Yes,15,129,POINT (-71.03764 42.3481),,,,,,
-7915766.0987252,5218621.0622387,S32004,Conway Park - Somerville Avenue,42.38363895,-71.10853672,Somerville,Yes,23,130,POINT (-71.10853672 42.38363895),,,,,,
-7915674.13546746,5218593.71647153,S32045,Conway Park @ Bleachery Ct (Temp Winter Station),42.3834575,-71.1077106,Somerville,Yes,19,131,POINT (-71.1077106 42.3834575),,,,,,
-7917413.76967788,5212287.31160789,K32001,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,Brookline,Yes,19,132,POINT (-71.123338 42.341598),,,,,,
-7921142.22789207,5216878.62037563,W32001,Coolidge Sq.,42.37207611,-71.15683131,Watertown,Yes,12,133,POINT (-71.15683131 42.37207611),,,,,,
-7912299.09214626,5213541.98745809,D32005,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,Boston,Yes,28,134,POINT (-71.07739207 42.34992828),,,,,,
-7909925.19621273,5215482.66238264,D32010,Cross St at Hanover St,42.362811,-71.056067,Boston,Yes,19,135,POINT (-71.056067 42.362811),,,,,,
-7914533.2476098,5201508.59858563,Z32999,Cummins Highway at Blue Hill Ave T Stop,42.26998847,-71.09746183,Boston,Yes,14,136,POINT (-71.09746183 42.26998847),,,,,,
-7916533.45514469,5207387.24761808,E32001,Curtis Hall - South St at Centre St,42.309054,-71.11543,Boston,Yes,15,137,POINT (-71.11543 42.309054),,,,,,
-7917639.10481754,5210215.97396012,K32009,Cypress St at Clark Playground,42.32784317,-71.12536222,Brookline,Yes,15,138,POINT (-71.12536222 42.32784317),,,,,,
-7915717.42984382,5215327.40242468,M32030,Dana Park,42.36178044,-71.10809952,Cambridge,Yes,19,139,POINT (-71.10809952 42.36178044),,,,,,bicycle_rental
-7918465.73886588,5219423.92065793,M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17,140,POINT (-71.132788 42.388966),,,commercial,node,3061424940.0,bicycle_rental
-7918465.73886588,5219423.92065793,M32031,Danehy Park,42.388966,-71.132788,Cambridge,Yes,17,140,POINT (-71.132788 42.388966),,,commercial,way,31125677.0,parking
-7919159.37061301,5219497.773701,M32075,Danehy Park at New Street,42.389456,-71.139019,Cambridge,Yes,19,141,POINT (-71.139019 42.389456),,,,,,
-7912347.63189703,5213697.60977155,D32045,Dartmouth St at Newbury St,42.35096144,-71.07782811,Boston,Yes,19,142,POINT (-71.07782811 42.35096144),,,,,,
-7917378.81535778,5220630.20898321,S32006,Davis Square,42.396969,-71.123024,Somerville,Yes,25,143,POINT (-71.123024 42.396969),,,,,,
-7906771.06976059,5217966.42069676,A32051,Day Sq,42.379295,-71.027733,Boston,Yes,16,144,POINT (-71.027733 42.379295),,,,,,
-7914513.24015772,5213438.88283315,B32037,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,Boston,Yes,19,145,POINT (-71.0972821 42.34924377),,,,relation,6587738.0,university
-7891593.48540794,5239208.53900567,T32018,Derby Street,42.52009618,-70.89139044,Salem,Yes,11,146,POINT (-70.89139044 42.52009618),,,,,,
